HomeTeam	AwayTeam	FTH Goals	FTA Goals	FT Result
Liverpool	Fulham	4	3	H
Chelsea	Brighton	3	2	H
Brentford	Luton	3	1	H
Newcastle	Man United	1	0	H
Arsenal	Wolves	2	1	H
Burnley	Sheffield United	5	0	H
Nott'm Forest	Everton	0	1	A
Fulham	Wolves	3	2	H
Tottenham	Aston Villa	1	2	A
Everton	Man United	0	3	A
Sheffield United	Bournemouth	1	3	A
Newcastle	Chelsea	4	1	H
Nott'm Forest	Brighton	2	3	A
Burnley	West Ham	1	2	A
Luton	Crystal Palace	2	1	H
Brentford	Arsenal	0	1	A
Man City	Liverpool	1	1	D
West Ham	Nott'm Forest	3	2	H
Aston Villa	Fulham	3	1	H
Liverpool	Brentford	3	0	H
Chelsea	Man City	4	4	D
Brighton	Sheffield United	1	1	D
Man United	Luton	1	0	H
Wolves	Tottenham	2	1	H
Arsenal	Burnley	3	1	H
Crystal Palace	Everton	2	3	A
Bournemouth	Newcastle	2	0	H
Tottenham	Chelsea	1	4	A
Nott'm Forest	Aston Villa	2	0	H
Luton	Liverpool	1	1	D
Sheffield United	Wolves	2	1	H
Burnley	Crystal Palace	0	2	A
Man City	Bournemouth	6	1	H
Fulham	Man United	0	1	A
Newcastle	Arsenal	1	0	H
Everton	Brighton	1	1	D
Brentford	West Ham	3	2	H
Liverpool	Nott'm Forest	3	0	H
Brighton	Fulham	1	1	D
Aston Villa	Luton	3	1	H
Man United	Man City	0	3	A
West Ham	Everton	0	1	A
Bournemouth	Burnley	2	1	H
Arsenal	Sheffield United	5	0	H
Chelsea	Brentford	0	2	A
Wolves	Newcastle	2	2	D
Crystal Palace	Tottenham	1	2	A
Tottenham	Fulham	2	0	H
Aston Villa	West Ham	4	1	H
Man City	Brighton	2	1	H
Bournemouth	Wolves	1	2	A
Brentford	Burnley	3	0	H
Sheffield United	Man United	1	2	A
Nott'm Forest	Luton	2	2	D
Chelsea	Arsenal	2	2	D
Liverpool	Everton	2	0	H
Newcastle	Crystal Palace	4	0	H
Brighton	Liverpool	2	2	D
Wolves	Aston Villa	1	1	D
Arsenal	Man City	1	0	H
West Ham	Newcastle	2	2	D
Crystal Palace	Nott'm Forest	0	0	D
Luton	Tottenham	0	1	A
Fulham	Sheffield United	3	1	H
Everton	Bournemouth	3	0	H
Burnley	Chelsea	1	4	A
Man United	Brentford	2	1	H
Luton	Burnley	1	2	A
Fulham	Chelsea	0	2	A
Nott'm Forest	Brentford	1	1	D
Bournemouth	Arsenal	0	4	A
Everton	Luton	1	2	A
Newcastle	Burnley	2	0	H
West Ham	Sheffield United	2	0	H
Aston Villa	Brighton	6	1	H
Wolves	Man City	2	1	H
Tottenham	Liverpool	2	1	H
Man United	Crystal Palace	0	1	A
Liverpool	West Ham	3	1	H
Chelsea	Aston Villa	0	1	A
Arsenal	Tottenham	2	2	D
Brighton	Bournemouth	3	1	H
Sheffield United	Newcastle	0	8	A
Man City	Nott'm Forest	2	0	H
Brentford	Everton	1	3	A
Luton	Wolves	1	1	D
Crystal Palace	Fulham	0	0	D
Burnley	Man United	0	1	A
Nott'm Forest	Burnley	1	1	D
Bournemouth	Chelsea	0	0	D
Everton	Arsenal	0	1	A
Wolves	Liverpool	1	3	A
West Ham	Man City	1	3	A
Aston Villa	Crystal Palace	3	1	H
Fulham	Luton	1	0	H
Man United	Brighton	1	3	A
Tottenham	Sheffield United	2	1	H
Newcastle	Brentford	1	0	H
Crystal Palace	Wolves	3	2	H
Liverpool	Aston Villa	3	0	H
Arsenal	Man United	3	1	H
Burnley	Tottenham	2	5	A
Man City	Fulham	5	1	H
Brighton	Newcastle	3	1	H
Chelsea	Nott'm Forest	0	1	A
Brentford	Bournemouth	2	2	D
Sheffield United	Everton	2	2	D
Luton	West Ham	1	2	A
Sheffield United	Man City	1	2	A
Newcastle	Liverpool	1	2	A
Burnley	Aston Villa	1	3	A
Man United	Nott'm Forest	3	2	H
Brighton	West Ham	1	3	A
Brentford	Crystal Palace	1	1	D
Arsenal	Fulham	2	2	D
Bournemouth	Tottenham	0	2	A
Everton	Wolves	0	1	A
Chelsea	Luton	3	0	H
Crystal Palace	Arsenal	0	1	A
West Ham	Chelsea	3	1	H
Aston Villa	Everton	4	0	H
Liverpool	Bournemouth	3	1	H
Wolves	Brighton	1	4	A
Man City	Newcastle	1	0	H
Fulham	Brentford	0	3	A
Tottenham	Man United	2	0	H
Nott'm Forest	Sheffield United	2	1	H
Man United	Wolves	1	0	H
Brentford	Tottenham	2	2	D
Chelsea	Liverpool	1	1	D
Bournemouth	West Ham	1	1	D
Sheffield United	Crystal Palace	0	1	A
Arsenal	Nott'm Forest	2	1	H
Brighton	Luton	4	1	H
Newcastle	Aston Villa	5	1	H
Everton	Fulham	0	1	A
Burnley	Man City	0	3	A
Arsenal	Wolves	5	0	H
Aston Villa	Brighton	2	1	H
Brentford	Man City	1	0	H
Leicester	West Ham	2	1	H
Southampton	Liverpool	4	4	D
Man United	Fulham	2	1	H
Chelsea	Newcastle	1	1	D
Everton	Bournemouth	1	0	H
Leeds	Tottenham	1	4	A
Crystal Palace	Nott'm Forest	1	1	D
Man United	Chelsea	4	1	H
Brighton	Man City	1	1	D
Newcastle	Leicester	0	0	D
West Ham	Leeds	3	1	H
Brighton	Southampton	3	1	H
Man City	Chelsea	1	0	H
Nott'm Forest	Arsenal	1	0	H
Liverpool	Aston Villa	1	1	D
Fulham	Crystal Palace	2	2	D
Wolves	Everton	1	1	D
Tottenham	Brentford	1	3	A
Bournemouth	Man United	0	1	A
Newcastle	Brighton	4	1	H
Leicester	Liverpool	0	3	A
Brentford	West Ham	2	0	H
Arsenal	Brighton	0	3	A
Everton	Man City	0	3	A
Crystal Palace	Bournemouth	2	0	H
Chelsea	Nott'm Forest	2	2	D
Aston Villa	Tottenham	2	1	H
Southampton	Fulham	0	2	A
Leeds	Newcastle	2	2	D
Man United	Wolves	2	0	H
Brighton	Everton	1	5	A
Fulham	Leicester	5	3	H
Nott'm Forest	Southampton	4	3	H
Newcastle	Arsenal	0	2	A
West Ham	Man United	1	0	H
Tottenham	Crystal Palace	1	0	H
Bournemouth	Chelsea	1	3	A
Man City	Leeds	2	1	H
Wolves	Aston Villa	1	0	H
Liverpool	Brentford	1	0	H
Brighton	Man United	1	0	H
Man City	West Ham	3	0	H
