HomeTeam	AwayTeam	FTH Goals	FTA Goals	FT Result
Wigan	Arsenal	1	4	A
Tottenham	West Ham	1	0	H
Sunderland	Man United	1	2	A
Stoke	Newcastle	1	1	D
Portsmouth	West Brom	2	2	D
Middlesbrough	Hull	3	1	H
Liverpool	Blackburn	4	0	H
Man United	Aston Villa	3	2	H
Everton	Wigan	4	0	H
Newcastle	Chelsea	0	2	A
Fulham	Liverpool	0	1	A
Arsenal	Man City	2	0	H
West Ham	Sunderland	2	0	H
Bolton	Middlesbrough	4	1	H
West Brom	Stoke	0	2	A
Blackburn	Tottenham	2	1	H
Hull	Portsmouth	0	0	D
Wigan	Hull	1	0	H
Man City	Sunderland	1	0	H
Liverpool	Aston Villa	5	0	H
Newcastle	Arsenal	1	3	A
Portsmouth	Everton	2	1	H
Blackburn	West Ham	1	1	D
Fulham	Man United	2	0	H
Stoke	Middlesbrough	1	0	H
West Brom	Bolton	1	1	D
Tottenham	Chelsea	1	0	H
West Ham	West Brom	0	0	D
Aston Villa	Tottenham	1	2	A
Chelsea	Man City	1	0	H
Sunderland	Wigan	1	2	A
Man United	Liverpool	1	4	A
Arsenal	Blackburn	4	0	H
Hull	Newcastle	1	1	D
Everton	Stoke	3	1	H
Bolton	Fulham	1	3	A
Middlesbrough	Portsmouth	1	1	D
Fulham	Blackburn	1	2	A
Sunderland	Tottenham	1	1	D
Tottenham	Middlesbrough	4	0	H
Fulham	Hull	0	1	A
Stoke	Bolton	2	0	H
Wigan	West Ham	0	1	A
Man City	Aston Villa	2	0	H
Blackburn	Everton	0	0	D
Newcastle	Man United	1	2	A
Portsmouth	Chelsea	0	1	A
West Brom	Arsenal	1	3	A
Liverpool	Sunderland	2	0	H
West Ham	Man City	1	0	H
Hull	Blackburn	1	2	A
Aston Villa	Stoke	2	2	D
Bolton	Newcastle	1	0	H
Everton	West Brom	2	0	H
Arsenal	Fulham	0	0	D
Chelsea	Wigan	2	1	H
Middlesbrough	Liverpool	2	0	H
Hull	Tottenham	1	2	A
Liverpool	Man City	1	1	D
Newcastle	Everton	0	0	D
Fulham	West Brom	2	0	H
Arsenal	Sunderland	0	0	D
Stoke	Portsmouth	2	2	D
Aston Villa	Chelsea	0	1	A
Bolton	West Ham	2	1	H
Middlesbrough	Wigan	0	0	D
Man United	Blackburn	2	1	H
Man United	Fulham	3	0	H
Portsmouth	Man City	2	0	H
Tottenham	Arsenal	0	0	D
West Ham	Man United	0	1	A
Chelsea	Hull	0	0	D
Everton	Bolton	3	0	H
Portsmouth	Liverpool	2	3	A
West Brom	Newcastle	2	3	A
Blackburn	Aston Villa	0	2	A
Man City	Middlesbrough	1	0	H
Wigan	Fulham	0	0	D
Sunderland	Stoke	2	0	H
Newcastle	Sunderland	1	1	D
Liverpool	Chelsea	2	0	H
Bolton	Tottenham	3	2	H
Fulham	Portsmouth	3	1	H
Stoke	Man City	1	0	H
Aston Villa	Wigan	0	0	D
Middlesbrough	Blackburn	0	0	D
Man United	Everton	1	0	H
Arsenal	West Ham	0	0	D
Hull	West Brom	2	2	D
Everton	Arsenal	1	1	D
Blackburn	Bolton	2	2	D
Wigan	Liverpool	1	1	D
Chelsea	Middlesbrough	2	0	H
Man City	Newcastle	2	1	H
West Ham	Hull	2	0	H
Tottenham	Stoke	3	1	H
Sunderland	Fulham	1	0	H
West Brom	Man United	0	5	A
Portsmouth	Aston Villa	0	1	A
Liverpool	Everton	1	1	D
Tottenham	Portsmouth	1	1	D
West Ham	Fulham	3	1	H
Bolton	Man United	0	1	A
West Brom	Middlesbrough	3	0	H
Chelsea	Stoke	2	1	H
Sunderland	Aston Villa	1	2	A
Man City	Wigan	1	0	H
Blackburn	Newcastle	3	0	H
Hull	Arsenal	1	3	A
Man United	Wigan	1	0	H
Wigan	Tottenham	1	0	H
Man United	Chelsea	3	0	H
Everton	Hull	2	0	H
Newcastle	West Ham	2	2	D
Arsenal	Bolton	1	0	H
Aston Villa	West Brom	2	1	H
Middlesbrough	Sunderland	1	1	D
Stoke	Liverpool	0	0	D
Hull	Aston Villa	0	1	A
Man United	Middlesbrough	1	0	H
Everton	Sunderland	3	0	H
Blackburn	Man City	2	2	D
West Brom	Tottenham	2	0	H
Bolton	Wigan	0	1	A
Newcastle	Liverpool	1	5	A
West Ham	Stoke	2	1	H
Arsenal	Portsmouth	1	0	H
Fulham	Chelsea	2	2	D
Liverpool	Bolton	3	0	H
Sunderland	Blackburn	0	0	D
Tottenham	Fulham	0	0	D
Portsmouth	West Ham	1	4	A
Wigan	Newcastle	2	1	H
Chelsea	West Brom	2	0	H
Aston Villa	Arsenal	2	2	D
Man City	Hull	5	1	H
Stoke	Man United	0	1	A
Middlesbrough	Everton	0	1	A
Everton	Chelsea	0	0	D
West Brom	Man City	2	1	H
Newcastle	Tottenham	2	1	H
Arsenal	Liverpool	1	1	D
Bolton	Portsmouth	2	1	H
West Ham	Aston Villa	0	1	A
Fulham	Middlesbrough	3	0	H
Blackburn	Stoke	3	0	H
Hull	Sunderland	1	4	A
Chelsea	West Ham	1	1	D
Portsmouth	Newcastle	0	3	A
Man City	Everton	0	1	A
Middlesbrough	Arsenal	1	1	D
Stoke	Fulham	0	0	D
Liverpool	Hull	2	2	D
Tottenham	Man United	0	0	D
Wigan	Blackburn	3	0	H
Aston Villa	Bolton	4	2	H
Sunderland	West Brom	4	0	H
West Ham	Tottenham	0	2	A
Everton	Aston Villa	2	3	A
West Brom	Portsmouth	1	1	D
Man United	Sunderland	1	0	H
Newcastle	Stoke	2	2	D
Hull	Middlesbrough	2	1	H
Blackburn	Liverpool	1	3	A
Arsenal	Wigan	1	0	H
Fulham	Man City	1	1	D
Bolton	Chelsea	0	2	A
Liverpool	West Ham	0	0	D
Tottenham	Everton	0	1	A
Portsmouth	Blackburn	3	2	H
Chelsea	Arsenal	1	2	A
Man City	Man United	0	1	A
Wigan	West Brom	2	1	H
Middlesbrough	Newcastle	0	0	D
Sunderland	Bolton	1	4	A
Aston Villa	Fulham	0	0	D
Stoke	Hull	1	1	D
Wigan	Everton	1	0	H
Tottenham	Blackburn	1	0	H
Sunderland	West Ham	0	1	A
Middlesbrough	Bolton	1	3	A
Liverpool	Fulham	0	0	D
Portsmouth	Hull	2	2	D
Aston Villa	Man United	0	0	D
Stoke	West Brom	1	0	H
Chelsea	Newcastle	0	0	D
Man City	Arsenal	3	0	H
Hull	Man City	2	2	D
Everton	Middlesbrough	1	1	D
Man United	Stoke	5	0	H
Bolton	Liverpool	0	2	A
Fulham	Tottenham	2	1	H
Blackburn	Sunderland	1	2	A
Newcastle	Wigan	2	2	D
West Ham	Portsmouth	0	0	D
West Brom	Chelsea	0	3	A
Arsenal	Aston Villa	0	2	A
Fulham	Newcastle	2	1	H
Blackburn	Chelsea	0	2	A
Man City	Tottenham	1	2	A
Aston Villa	Middlesbrough	1	2	A
Wigan	Stoke	0	0	D
West Ham	Everton	1	3	A
Arsenal	Man United	2	1	H
Liverpool	West Brom	3	0	H
Hull	Bolton	0	1	A
Sunderland	Portsmouth	1	2	A
Newcastle	Aston Villa	2	0	H
Bolton	Man City	2	0	H
Everton	Fulham	1	0	H
Stoke	Arsenal	2	1	H
Middlesbrough	West Ham	1	1	D
Chelsea	Sunderland	5	0	H
Portsmouth	Wigan	1	2	A
Man United	Hull	4	3	H
Tottenham	Liverpool	2	1	H
West Brom	Blackburn	2	2	D
Middlesbrough	Man City	2	0	H
Bolton	Everton	0	1	A
Aston Villa	Blackburn	3	2	H
Fulham	Wigan	2	0	H
Man United	West Ham	2	0	H
Hull	Chelsea	0	3	A
Liverpool	Portsmouth	1	0	H
Arsenal	Tottenham	4	4	D
Stoke	Sunderland	1	0	H
Newcastle	West Brom	2	1	H
Man City	Stoke	3	0	H
Chelsea	Liverpool	0	1	A
Wigan	Aston Villa	0	4	A
West Ham	Arsenal	0	2	A
Portsmouth	Fulham	1	1	D
Tottenham	Bolton	2	0	H
Blackburn	Middlesbrough	1	1	D
Sunderland	Newcastle	2	1	H
West Brom	Hull	0	3	A
Everton	Man United	1	1	D
Newcastle	Man City	2	2	D
Hull	West Ham	1	0	H
Stoke	Tottenham	2	1	H
Liverpool	Wigan	3	2	H
Fulham	Sunderland	0	0	D
Man United	West Brom	4	0	H
Bolton	Blackburn	0	0	D
Arsenal	Everton	3	1	H
Aston Villa	Portsmouth	0	0	D
Middlesbrough	Chelsea	0	5	A
Chelsea	Aston Villa	2	0	H
Tottenham	Hull	0	1	A
Everton	Newcastle	2	2	D
Portsmouth	Stoke	2	1	H
Man City	Liverpool	2	3	A
West Ham	Bolton	1	3	A
Wigan	Middlesbrough	0	1	A
Blackburn	Man United	0	2	A
West Brom	Fulham	1	0	H
Sunderland	Arsenal	1	1	D
Portsmouth	Tottenham	2	0	H
Wigan	Man City	2	1	H
Man United	Bolton	2	0	H
Everton	Liverpool	0	2	A
Aston Villa	Sunderland	2	1	H
Middlesbrough	West Brom	0	1	A
Arsenal	Hull	1	2	A
Stoke	Chelsea	0	2	A
Newcastle	Blackburn	1	2	A
Fulham	West Ham	1	2	A
Man City	Portsmouth	6	0	H
West Brom	Aston Villa	1	2	A
Tottenham	Wigan	0	0	D
Chelsea	Man United	1	1	D
Hull	Everton	2	2	D
Bolton	Arsenal	1	3	A
Sunderland	Middlesbrough	2	0	H
West Ham	Newcastle	3	1	H
Liverpool	Stoke	0	0	D
Blackburn	Fulham	1	0	H
Tottenham	Aston Villa	1	2	A
Stoke	Everton	2	3	A
Liverpool	Man United	2	1	H
Portsmouth	Middlesbrough	2	1	H
Wigan	Sunderland	1	1	D
Man City	Chelsea	1	3	A
West Brom	West Ham	3	2	H
Blackburn	Arsenal	0	4	A
Newcastle	Hull	1	2	A
Fulham	Bolton	2	1	H
Chelsea	Tottenham	1	1	D
Aston Villa	Liverpool	0	0	D
Sunderland	Man City	0	3	A
Everton	Portsmouth	0	3	A
Bolton	West Brom	0	0	D
Hull	Wigan	0	5	A
Middlesbrough	Stoke	2	1	H
Arsenal	Newcastle	3	0	H
West Ham	Blackburn	4	1	H
Portsmouth	Man United	0	1	A
Wigan	Chelsea	0	1	A
Man City	West Ham	3	0	H
Blackburn	Hull	1	1	D
Tottenham	Sunderland	1	2	A
Fulham	Arsenal	1	0	H
Stoke	Aston Villa	3	2	H
West Brom	Everton	1	2	A
Newcastle	Bolton	1	0	H
Liverpool	Middlesbrough	2	1	H
Chelsea	Portsmouth	4	0	H
Man United	Newcastle	1	1	D
Aston Villa	Man City	4	2	H
Middlesbrough	Tottenham	2	1	H
Everton	Blackburn	2	3	A
West Ham	Wigan	2	1	H
Sunderland	Liverpool	0	1	A
Hull	Fulham	2	1	H
Arsenal	West Brom	1	0	H
Bolton	Stoke	3	1	H
Birmingham	Blackburn	4	1	H
Portsmouth	Fulham	0	1	A
Derby	Reading	0	4	A
Wigan	Man United	0	2	A
West Ham	Aston Villa	2	2	D
Tottenham	Liverpool	0	2	A
Chelsea	Bolton	1	1	D
Sunderland	Arsenal	0	1	A
Middlesbrough	Man City	8	1	H
Everton	Newcastle	3	1	H
Newcastle	Chelsea	0	2	A
Arsenal	Everton	1	0	H
Liverpool	Man City	1	0	H
Fulham	Birmingham	2	0	H
Blackburn	Derby	3	1	H
Aston Villa	Wigan	0	2	A
Bolton	Sunderland	2	0	H
Middlesbrough	Portsmouth	2	0	H
Reading	Tottenham	0	1	A
Man United	West Ham	4	1	H
Derby	Arsenal	2	6	A
Portsmouth	Blackburn	0	1	A
Everton	Aston Villa	2	2	D
Birmingham	Liverpool	2	2	D
Sunderland	Middlesbrough	3	2	H
Wigan	Reading	0	0	D
Man City	Fulham	2	3	A
West Ham	Newcastle	2	2	D
Tottenham	Bolton	1	1	D
Chelsea	Man United	2	1	H
Newcastle	Sunderland	2	0	H
Aston Villa	Birmingham	5	1	H
Man City	Portsmouth	3	1	H
Arsenal	Reading	2	0	H
Blackburn	Man United	1	1	D
Wigan	Tottenham	1	1	D
Fulham	Liverpool	0	2	A
Middlesbrough	Bolton	0	1	A
West Ham	Derby	2	1	H
Everton	Chelsea	0	1	A
Chelsea	Wigan	1	1	D
Man United	Arsenal	2	1	H
Liverpool	Blackburn	3	1	H
Bolton	West Ham	1	0	H
Portsmouth	Newcastle	0	0	D
Derby	Aston Villa	0	6	A
Tottenham	Middlesbrough	1	1	D
Sunderland	Man City	1	2	A
Reading	Fulham	0	2	A
Birmingham	Everton	1	1	D
West Ham	Portsmouth	0	1	A
Everton	Derby	1	0	H
Middlesbrough	Man United	2	2	D
Aston Villa	Bolton	4	0	H
Newcastle	Reading	3	0	H
Man City	Chelsea	0	2	A
Blackburn	Tottenham	1	1	D
Fulham	Sunderland	1	3	A
Wigan	Birmingham	2	0	H
Arsenal	Liverpool	1	1	D
Chelsea	Middlesbrough	1	0	H
Liverpool	Everton	1	0	H
Tottenham	Newcastle	1	4	A
Sunderland	West Ham	2	1	H
Bolton	Arsenal	2	3	A
Reading	Blackburn	0	0	D
Portsmouth	Wigan	2	0	H
Man United	Aston Villa	4	0	H
Derby	Fulham	2	2	D
Birmingham	Man City	3	1	H
Man United	Liverpool	3	0	H
Chelsea	Arsenal	2	1	H
Aston Villa	Sunderland	0	1	A
Blackburn	Wigan	3	1	H
Middlesbrough	Derby	1	0	H
Reading	Birmingham	2	1	H
Bolton	Man City	0	0	D
Newcastle	Fulham	2	0	H
Tottenham	Portsmouth	2	0	H
Everton	West Ham	1	1	D
Man United	Bolton	2	0	H
Tottenham	Chelsea	4	4	D
Birmingham	Newcastle	1	1	D
Wigan	Bolton	1	0	H
Fulham	Everton	1	0	H
Man City	Tottenham	2	1	H
Derby	Man United	0	1	A
Portsmouth	Aston Villa	2	0	H
Arsenal	Middlesbrough	1	1	D
Liverpool	Reading	2	1	H
West Ham	Blackburn	2	1	H
Sunderland	Chelsea	0	1	A
Chelsea	Derby	6	1	H
Portsmouth	Birmingham	4	2	H
Aston Villa	Middlesbrough	1	1	D
Sunderland	Everton	0	1	A
Tottenham	West Ham	4	0	H
Wigan	Arsenal	0	0	D
Blackburn	Fulham	1	1	D
Reading	Man City	2	0	H
Liverpool	Newcastle	3	0	H
Liverpool	West Ham	4	0	H
Everton	Portsmouth	3	1	H
Bolton	Liverpool	1	3	A
West Ham	Chelsea	0	4	A
Fulham	Man United	0	3	A
Birmingham	Tottenham	4	1	H
Man City	Wigan	0	0	D
Arsenal	Aston Villa	1	1	D
Newcastle	Blackburn	0	1	A
Middlesbrough	Reading	0	1	A
Derby	Sunderland	0	0	D
Man City	Everton	0	2	A
Blackburn	Bolton	4	1	H
Reading	Aston Villa	1	2	A
Portsmouth	Sunderland	1	0	H
Wigan	Derby	2	0	H
Birmingham	Arsenal	2	2	D
Liverpool	Middlesbrough	3	2	H
Newcastle	Man United	1	5	A
Fulham	West Ham	0	1	A
Arsenal	Blackburn	2	0	H
Chelsea	Liverpool	0	0	D
Man United	Man City	1	2	A
Sunderland	Wigan	2	0	H
Derby	Tottenham	0	3	A
Aston Villa	Newcastle	4	1	H
Bolton	Portsmouth	0	1	A
Middlesbrough	Fulham	1	0	H
West Ham	Birmingham	1	1	D
Everton	Reading	1	0	H
Newcastle	Middlesbrough	1	1	D
Fulham	Aston Villa	2	1	H
Portsmouth	Chelsea	1	1	D
Tottenham	Man United	1	1	D
Reading	Bolton	0	2	A
Wigan	West Ham	1	0	H
Birmingham	Derby	1	1	D
Man City	Arsenal	1	3	A
Liverpool	Sunderland	3	0	H
Blackburn	Everton	0	0	D
West Ham	Liverpool	1	0	H
Derby	Man City	1	1	D
Everton	Tottenham	0	0	D
Man United	Portsmouth	2	0	H
Chelsea	Reading	1	0	H
Arsenal	Newcastle	3	0	H
Bolton	Fulham	0	0	D
Middlesbrough	Wigan	1	0	H
Sunderland	Birmingham	2	0	H
Aston Villa	Blackburn	1	1	D
Liverpool	Aston Villa	2	2	D
Man City	West Ham	1	1	D
Wigan	Everton	1	2	A
Reading	Man United	0	2	A
Portsmouth	Derby	3	1	H
Birmingham	Chelsea	0	1	A
Tottenham	Sunderland	2	0	H
Blackburn	Middlesbrough	1	1	D
Fulham	Arsenal	0	3	A
Newcastle	Bolton	0	0	D
Sunderland	Portsmouth	2	0	H
Bolton	Blackburn	1	2	A
Arsenal	Birmingham	1	1	D
Everton	Man City	1	0	H
West Ham	Fulham	2	1	H
Man United	Newcastle	6	0	H
Chelsea	Tottenham	2	0	H
Derby	Wigan	0	1	A
Middlesbrough	Liverpool	1	1	D
Aston Villa	Reading	3	1	H
Liverpool	Wigan	1	1	D
Blackburn	Sunderland	1	0	H
Bolton	Derby	1	0	H
Newcastle	Man City	0	2	A
Fulham	Chelsea	1	2	A
Reading	Portsmouth	0	2	A
Aston Villa	Tottenham	2	1	H
Arsenal	West Ham	2	0	H
Man United	Birmingham	1	0	H
Middlesbrough	Everton	0	2	A
Derby	Blackburn	1	2	A
Man City	Liverpool	0	0	D
Everton	Arsenal	1	4	A
Birmingham	Fulham	1	1	D
Sunderland	Bolton	3	1	H
Tottenham	Reading	6	4	H
Wigan	Aston Villa	1	2	A
West Ham	Man United	2	1	H
Portsmouth	Middlesbrough	0	1	A
Chelsea	Newcastle	2	1	H
Man City	Blackburn	2	2	D
Wigan	Newcastle	1	0	H
Derby	Liverpool	1	2	A
Portsmouth	Arsenal	0	0	D
Everton	Bolton	2	0	H
Sunderland	Man United	0	4	A
Birmingham	Middlesbrough	3	0	H
Tottenham	Fulham	5	1	H
West Ham	Reading	1	1	D
Chelsea	Aston Villa	4	4	D
Newcastle	Derby	2	2	D
Blackburn	Chelsea	0	1	A
Man United	Everton	2	1	H
Liverpool	Portsmouth	4	1	H
Aston Villa	Man City	1	1	D
Reading	Sunderland	2	1	H
Bolton	Birmingham	3	0	H
Arsenal	Tottenham	2	1	H
Middlesbrough	West Ham	1	2	A
Fulham	Wigan	1	1	D
Arsenal	Chelsea	1	0	H
Liverpool	Man United	0	1	A
Wigan	Blackburn	5	3	H
Fulham	Newcastle	0	1	A
Man City	Bolton	4	2	H
Birmingham	Reading	1	1	D
Sunderland	Aston Villa	1	1	D
Portsmouth	Tottenham	0	1	A
Derby	Middlesbrough	0	1	A
West Ham	Everton	0	2	A
Bolton	Wigan	4	1	H
Tottenham	Man City	2	1	H
Middlesbrough	Arsenal	2	1	H
Blackburn	West Ham	0	1	A
Chelsea	Sunderland	2	0	H
Man United	Derby	4	1	H
Newcastle	Birmingham	2	1	H
Everton	Fulham	3	0	H
Aston Villa	Portsmouth	1	3	A
Reading	Liverpool	3	1	H
Newcastle	Arsenal	1	1	D
Man United	Fulham	2	0	H
Liverpool	Bolton	4	0	H
Tottenham	Birmingham	2	3	A
Blackburn	Newcastle	3	1	H
Reading	Middlesbrough	1	1	D
Chelsea	West Ham	1	0	H
Wigan	Man City	1	1	D
Portsmouth	Everton	0	0	D
Sunderland	Derby	1	0	H
Aston Villa	Arsenal	1	2	A
Blackburn	Aston Villa	0	4	A
Fulham	Blackburn	2	2	D
West Ham	Tottenham	1	1	D
Arsenal	Wigan	2	0	H
Newcastle	Liverpool	0	3	A
Derby	Chelsea	0	2	A
Everton	Sunderland	7	1	H
Man City	Reading	2	1	H
Bolton	Man United	1	0	H
Middlesbrough	Aston Villa	0	3	A
Birmingham	Portsmouth	0	2	A
Reading	Arsenal	1	3	A
Man United	Blackburn	2	0	H
Bolton	Middlesbrough	0	0	D
Portsmouth	Man City	0	0	D
Birmingham	Aston Villa	1	2	A
Tottenham	Wigan	4	0	H
Chelsea	Everton	1	1	D
Liverpool	Fulham	2	0	H
Sunderland	Newcastle	1	1	D
Derby	West Ham	0	5	A
Man City	Sunderland	1	0	H
West Ham	Bolton	1	1	D
Everton	Birmingham	3	1	H
Wigan	Chelsea	0	2	A
Blackburn	Liverpool	0	0	D
Middlesbrough	Tottenham	1	1	D
Aston Villa	Derby	2	0	H
Fulham	Reading	3	1	H
Newcastle	Portsmouth	1	4	A
Arsenal	Man United	2	2	D
Tottenham	Blackburn	1	2	A
Derby	Everton	0	2	A
Bolton	Aston Villa	1	1	D
Liverpool	Arsenal	1	1	D
Birmingham	Wigan	3	2	H
Reading	Newcastle	2	1	H
Sunderland	Fulham	1	1	D
Portsmouth	West Ham	0	0	D
Chelsea	Man City	6	0	H
Man United	Middlesbrough	4	1	H
Newcastle	Tottenham	3	1	H
West Ham	Sunderland	3	1	H
Man City	Birmingham	1	0	H
Everton	Liverpool	1	2	A
Aston Villa	Man United	1	4	A
Middlesbrough	Chelsea	0	2	A
Blackburn	Reading	4	2	H
Wigan	Portsmouth	0	2	A
Arsenal	Bolton	2	0	H
Fulham	Derby	0	0	D
Newcastle	Everton	3	2	H
Arsenal	Sunderland	3	2	H
Bolton	Chelsea	0	1	A
Man City	Middlesbrough	3	1	H
Reading	Derby	1	0	H
Blackburn	Birmingham	2	1	H
Liverpool	Tottenham	2	2	D
Fulham	Portsmouth	0	2	A
Aston Villa	West Ham	1	0	H
Man United	Wigan	4	0	H
Tottenham	Aston Villa	4	4	D
Everton	Middlesbrough	2	0	H
Birmingham	Man United	0	1	A
West Ham	Arsenal	0	1	A
Man City	Newcastle	3	1	H
Sunderland	Blackburn	1	2	A
Derby	Bolton	1	1	D
Portsmouth	Reading	7	4	H
Wigan	Liverpool	0	1	A
Chelsea	Fulham	0	0	D
Man United	Chelsea	2	0	H
Bolton	Tottenham	1	1	D
Newcastle	West Ham	3	1	H
Aston Villa	Everton	2	0	H
Blackburn	Portsmouth	0	1	A
Fulham	Man City	3	3	D
Arsenal	Derby	5	0	H
Liverpool	Birmingham	0	0	D
Reading	Wigan	2	1	H
Middlesbrough	Sunderland	2	2	D
Derby	Newcastle	1	0	H
Man City	Aston Villa	1	0	H
Chelsea	Blackburn	0	0	D
West Ham	Middlesbrough	3	0	H
Tottenham	Arsenal	1	3	A
Wigan	Fulham	1	1	D
Portsmouth	Liverpool	0	0	D
Birmingham	Bolton	1	0	H
Everton	Man United	0	1	A
Sunderland	Reading	2	1	H
Blackburn	Man City	1	0	H
Aston Villa	Chelsea	2	0	H
Arsenal	Portsmouth	3	1	H
Newcastle	Wigan	1	0	H
Middlesbrough	Birmingham	2	0	H
Fulham	Tottenham	3	3	D
Reading	West Ham	0	3	A
Man United	Sunderland	1	0	H
Liverpool	Derby	6	0	H
Bolton	Everton	1	2	A
Man United	Tottenham	1	0	H
Middlesbrough	Newcastle	2	2	D
Sunderland	Liverpool	0	2	A
West Ham	Wigan	1	1	D
Chelsea	Portsmouth	1	0	H
Everton	Blackburn	1	1	D
Derby	Birmingham	1	2	A
Bolton	Reading	3	0	H
Aston Villa	Fulham	2	1	H
Arsenal	Man City	1	0	H
Blackburn	Arsenal	1	1	D
Liverpool	Chelsea	1	1	D
Man City	Man United	1	0	H
Tottenham	Derby	4	0	H
Portsmouth	Bolton	3	1	H
Newcastle	Aston Villa	0	0	D
Reading	Everton	1	0	H
Fulham	Middlesbrough	1	2	A
Birmingham	West Ham	0	1	A
Wigan	Sunderland	3	0	H
Birmingham	Sunderland	2	2	D
Man City	Derby	1	0	H
Reading	Chelsea	1	2	A
Fulham	Bolton	2	1	H
Portsmouth	Man United	1	1	D
Wigan	Middlesbrough	1	0	H
Tottenham	Everton	1	3	A
Chelsea	Birmingham	3	2	H
Arsenal	Fulham	2	1	H
Man United	Reading	0	0	D
West Ham	Man City	0	2	A
Middlesbrough	Blackburn	1	2	A
Derby	Portsmouth	2	2	D
Aston Villa	Liverpool	1	2	A
Bolton	Newcastle	1	3	A
Sunderland	Tottenham	1	0	H
Everton	Wigan	2	1	H
Bolton	Aston Villa	2	2	D
Portsmouth	Arsenal	0	0	D
Man United	West Ham	0	1	A
Blackburn	Reading	3	3	D
Tottenham	Man City	2	1	H
Middlesbrough	Fulham	3	1	H
Watford	Newcastle	1	1	D
Chelsea	Everton	1	1	D
Sheffield United	Wigan	1	2	A
Liverpool	Charlton	2	2	D
Tottenham	Blackburn	1	1	D
Chelsea	Man United	0	0	D
Charlton	Tottenham	0	2	A
Arsenal	Chelsea	1	1	D
Everton	Portsmouth	3	0	H
Reading	Watford	0	2	A
Wigan	Middlesbrough	0	1	A
Aston Villa	Sheffield United	3	0	H
Newcastle	Blackburn	0	2	A
Fulham	Liverpool	1	0	H
Man City	Man United	0	1	A
West Ham	Bolton	3	1	H
Reading	Newcastle	1	0	H
Arsenal	Fulham	3	1	H
Middlesbrough	Tottenham	2	3	A
Chelsea	Bolton	2	2	D
Blackburn	Charlton	4	1	H
Portsmouth	Liverpool	2	1	H
Everton	Man United	2	4	A
Sheffield United	Watford	1	0	H
Man City	Aston Villa	0	2	A
Wigan	West Ham	0	3	A
Newcastle	Chelsea	0	0	D
Aston Villa	Portsmouth	0	0	D
Bolton	Reading	1	3	A
Fulham	Blackburn	1	1	D
Man United	Middlesbrough	1	1	D
Liverpool	Wigan	2	0	H
Watford	Man City	1	1	D
Charlton	Sheffield United	1	1	D
Tottenham	Arsenal	2	2	D
West Ham	Everton	1	0	H
West Ham	Chelsea	1	4	A
Liverpool	Middlesbrough	2	0	H
Blackburn	Watford	3	1	H
Man United	Sheffield United	2	0	H
Arsenal	Man City	3	1	H
Everton	Charlton	2	1	H
Wigan	Tottenham	3	3	D
Portsmouth	Newcastle	2	1	H
Man City	Liverpool	0	0	D
Middlesbrough	Aston Villa	1	3	A
Reading	Fulham	1	0	H
Arsenal	Bolton	2	1	H
Sheffield United	West Ham	3	0	H
Charlton	Reading	0	0	D
Fulham	Man City	1	3	A
Bolton	Everton	1	1	D
Watford	Portsmouth	4	2	H
Newcastle	Arsenal	0	0	D
Aston Villa	Wigan	1	1	D
Portsmouth	Man United	2	1	H
Middlesbrough	Watford	4	1	H
Reading	Liverpool	1	2	A
Sheffield United	Newcastle	1	2	A
Blackburn	Aston Villa	1	2	A
Wigan	Bolton	1	3	A
Arsenal	West Ham	0	1	A
Chelsea	Tottenham	1	0	H
Everton	Fulham	4	1	H
Man City	Charlton	0	0	D
Aston Villa	Everton	1	1	D
Tottenham	Reading	1	0	H
Newcastle	Man City	0	1	A
Bolton	Sheffield United	1	0	H
Man United	Blackburn	4	1	H
Watford	Chelsea	0	1	A
West Ham	Middlesbrough	2	0	H
Liverpool	Arsenal	4	1	H
Charlton	Wigan	1	0	H
Fulham	Portsmouth	1	1	D
Everton	Arsenal	1	0	H
Charlton	Newcastle	2	0	H
Aston Villa	Liverpool	0	0	D
Tottenham	Watford	3	1	H
Reading	Portsmouth	0	0	D
Man United	Bolton	4	1	H
Blackburn	West Ham	1	2	A
Middlesbrough	Man City	0	2	A
Chelsea	Sheffield United	3	0	H
Wigan	Fulham	0	0	D
Aston Villa	Arsenal	0	1	A
Man City	Chelsea	0	1	A
Bolton	Blackburn	1	2	A
West Ham	Tottenham	3	4	A
Arsenal	Reading	2	1	H
Liverpool	Man United	0	1	A
Fulham	Aston Villa	1	1	D
Watford	Charlton	2	2	D
Portsmouth	Chelsea	0	2	A
Man City	Wigan	0	1	A
Sheffield United	Everton	1	1	D
Newcastle	Middlesbrough	0	0	D
Wigan	Newcastle	1	0	H
Blackburn	Portsmouth	3	0	H
Tottenham	Bolton	4	1	H
Watford	Everton	0	3	A
Fulham	Man United	1	2	A
Liverpool	Sheffield United	4	0	H
Charlton	West Ham	4	0	H
Middlesbrough	Reading	2	1	H
Watford	Wigan	1	1	D
Everton	Tottenham	1	2	A
Bolton	Fulham	2	1	H
Arsenal	Wigan	2	1	H
Reading	Aston Villa	2	0	H
Everton	Blackburn	1	0	H
Portsmouth	Man City	2	1	H
Chelsea	Middlesbrough	3	0	H
Sheffield United	Tottenham	2	1	H
Man United	Charlton	2	0	H
Newcastle	Liverpool	2	1	H
West Ham	Watford	0	1	A
Tottenham	Man United	0	4	A
Wigan	Portsmouth	1	0	H
